Person ID,BU,Gender,JH Position Title (externalCode),External Title,Department,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Degree Centrality,Normalized Degree Centrality,Normalized Eigenvector Centrality,Normalized Closeness Centrality,Rank by Degree Centrality,Rank by Closeness Centrality,Rank by Betweenness Centrality,Rank by Eigenvector Centrality
114332,Rail,M,PDEL-RAIL-OPML,"Operations Manager NSW, QLD & New Zealand",Rail New Zealand,0.0,0.022113140990345052,0.712402870847445,0.003168854685377999,0.35000000000000003,1.0,0.9601786384504323,14,2,87,1
59536,Infrastructure,M,PDEL-INFR-GEMO,General Manager Infrastructure NSW/ACT/QLD,Infrastructure NSW/ACT,0.0,0.019234541628523533,0.6040912326694563,0.0036215482118605704,0.4,0.8479629397766254,0.8351864622107537,12,3,87,2
54703,Major Projects,M,PDEL-INFR-PRD1B,Project Director,M7-M12 Project,0.0,0.012410103461395714,0.29189743534925067,0.0015844273426889996,0.17500000000000002,0.4097364669525624,0.538861315531548,21,14,87,3
22510,Rail,M,PDEL-RAIL-PRD,Alliance General Manager,North Western Program Alliance - R,0.0,0.013959369401907834,0.17122924220759947,0.0011317338162064282,0.125,0.2403545089622775,0.6061322682201803,23,7,87,4
62061,Building,M,PDEL-BUILD-GEMB,General Manager Building NSW/ACT,Building NSW/ACT Operations,0.0,0.01004205971247062,0.0776221090810132,0.0009053870529651426,0.1,0.10895816434123895,0.4360380656084951,24,22,87,5
90346,Building,M,PDEL-BUILD-GEMB,General Manager Building QLD/NT,Building QLD/NT Operations,0.0,0.011838416248170355,0.0670372393242477,0.002489814395654142,0.275,0.09410018132355638,0.5140379830952417,17,17,87,6
92139,Infrastructure,M,PDEL-INFR-PRD,Project Director,Upper South Creek Advanced Water Recycling Centre,6.277463263825654e-06,0.008355595222249775,0.030822287642331688,0.0018107741059302852,0.2,0.043265249062611144,0.3628097902258949,20,28,12,7
110476,Rail,M,PDEL-RAIL-PRD,Project Director,Gold Coast Light Rail Stage 3,1.0207257339553908e-05,0.0125144933476082,0.030481432753219243,0.002489814395654142,0.275,0.04278679101160964,0.5433940473969697,17,13,2,8
94457,Infrastructure,M,PDEL-INFR-GEMO,General Manager Infrastructure VIC/SA/TAS,Infrastructure VIC/SA/TAS,0.0,0.015745354487851578,0.015031099932277447,0.004979628791308284,0.55,0.021099156874744725,0.6836818451374974,7,5,87,9
88714,Major Projects,M,PDEL-INFR-CD1B,Construction Director,M7-M12 Project,4.49119322940372e-06,0.005716555125928091,0.013952121575125001,0.0015844273426889996,0.17500000000000002,0.01958459481820442,0.2482195595748709,21,36,20,10
60553,Rail,M,PDEL-RAIL-GEMR,General Manager Rail Services,Rail Management,0.0,0.013012711255313468,0.009370146500985815,0.002037120869171571,0.22500000000000003,0.013152875826528498,0.565027256016267,19,8,87,11
114051,Rail,M,PDEL-RAIL-PRD,General Manager Delivery,North Western Program Alliance - R,6.8388624175011185e-06,0.010730211317516489,0.008106984901868923,0.0029425079221367134,0.325,0.011379775729923946,0.4659184191715152,15,20,10,12
120484,Building,M,PDEL-BUILD-OPMB,Operations Manager,Building NSW/ACT Operations,8.012697011549818e-06,0.012712052339679819,0.003531951166708205,0.0036215482118605704,0.4,0.0049578002966509166,0.5519722916230518,12,11,4,13
19965,Rail,M,PDEL-RAIL-OPML,Operations Manager NSW/ACT,Rail Projects NSW,6.68575355740781e-06,0.011043988681214794,0.0034686788152360104,0.003168854685377999,0.35000000000000003,0.004868984888878721,0.4795430020376015,14,19,11,14
57323,Major Projects,F,COMMS-CSGR-CSGRD,Communications and Stakeholder Engagement Director,Melbourne Metro Rail Project - Tunnels & Stations PPP,0.0,0.009202862305979541,0.003056691203656493,0.001358080579447714,0.15000000000000002,0.00429067782634434,0.3995991253644315,22,23,87,15
126504,Building,M,PDEL-INFR-OMLBU,Operations Manager,Building QLD/NT Operations,7.349225284478814e-06,0.01112585425109469,0.0029990941514643522,0.0022634676324128564,0.25,0.004209828836890085,0.4830977015467109,18,18,8,16
90825,Rail,M,PDEL-RAIL-PRD1B,Alliance Manager,Metro Tunnel Rail Network Alliance,0.0,0.01041471883101438,0.002426896066316045,0.002716161158895428,0.30000000000000004,0.0034066343123235437,0.4522193636523016,16,21,87,17
